DE0002,4;6,3,10,1,0,1,1,1,0,0,1,0,1,1,75,1,0
DE0003,4;6,3,50,1,0,1,1,1,1,0,1,1,1,1,75,1,1;5
DE0005,4;6,3,10,1,0,1,1,1,0,0,1,0,1,1,120,1,0
DE0009,4;6,3,10,1,0,1,1,1,0,0,1,0,1,1,60,1,0
DE0010,4;6,3,10,1,0,1,1,1,0,0,1,0,1,1,90,1,0
DE0011,4;6,3,10,1,0,1,1,1,0,0,1,0,1,1,80,1,0
DE0013,4;6,3,10,1,0,1,1,1,0,0,1,0,1,1,60,1,0
DE0015,4;6,3,50,1,0,1,1,1,0,0,1,0,1,1,180,1,0
DE0017,4;6,3,10,1,1;2,1,1,1,0,0,1,0,1,1,90,1,0
DE0018,4;6,3,50,1,0,1,1,1,1,0,1,1,1,1,90,1,1;5
DE0019,4;6,3,10,1,0,1,1,1,0,0,1,0,1,1,90,1,0
DE0020,6,3,10,1,0,1,1,1,0,0,1,0,1,1,120,1,0
DE0022,6,3,50,1,0,1,1,1,1,0,1,1,1,1,120,1,1;5
DE0023,4;6,3,10,1,0,1,1,1,0,0,1,0,1,1,60,1,0
DE0026,4;6,3,10,1,0,1,1,1,0,0,1,0,1,1,180,1,0
DE0027,4;6,3,10,1,0,1,1,1,0,0,1,0,1,1,180,1,0
DE0028,4;6,3,10,1,0,1,1,1,0,0,1,0,1,1,60,1,0
DE0029,4;6,3,50,1,0,1,1,1,1,0,1,1,1,1,375,1,1;5
DE0030,4;6,3,50,1,0,1,1,1,0,1,1,0,1,1,120,1,0
DE0032,4;6,3,10,1,0,1,1,1,0,0,1,0,1,1,120,1,0
DE0046,4;6,3,10,1,0,1,1,1,0,0,1,0,1,1,180,1,0
