AK;AK0058;JESSIE WAKEFIELD MEMORIAL LIBRARY                           ;-3                                                                              ;780;4;0.38;18536;200;1991;1465;815
AK;AK0061;ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY                    ;-3                                                                              ;512;10;0.3;27096;459;4400;2468;3487
AK;AK0064;SELDOVIA PUBLIC LIBRARY                                     ;seldovialibrary.wordpress.com/                                                  ;700;2;0;6950;241;3787;921;8405
AK;AK0065;SEWARD COMMUNITY LIBRARY                                    ;library.cityofseward.net/library/                                               ;3172;11;4.5;370564;2609;87860;19044;70811
AK;AK0067;KETTLESON MEMORIAL LIBRARY                                  ;-3                                                                              ;3692;10;7.71;824864;8627;166372;43503;125348
AK;AK0068;SKAGWAY PUBLIC LIBRARY                                      ;skagwaylibrary.blogspot.com/                                                    ;2320;4;1.8;186954;865;12600;7305;13559
AK;AK0069;SOLDOTNA PUBLIC LIBRARY                                     ;-3                                                                              ;3068;6;5;414992;4021;93561;16160;113811
AK;AK0070;SUTTON PUBLIC LIBRARY                                       ;www.matsulibraries.org/sutton/                                                  ;2132;2;1.75;197201;3678;12099;2354;14441
AK;AK0071;TAKOTNA COMMUNITY LIBRARY                                   ;-3                                                                              ;780;3;0.38;22576;53;1340;1180;1263
AK;AK0072;TALKEETNA PUBLIC LIBRARY                                    ;www.matsulibraries.org/talkeetna/                                               ;2184;6;2.1;197335;6746;24960;9940;37219
AK;AK0073;TANANA COMMUNITY/SCHOOL LIBRARY                             ;-3                                                                              ;340;4;0.25;21050;251;2500;2000;2897
AK;AK0074;DERMOTT O'TOOLE MEMORIAL LIBRARY                            ;-3                                                                              ;552;2;0.25;16655;104;1221;252;1936
AK;AK0075;TOK COMMUNITY LIBRARY                                       ;-3                                                                              ;1101;1;0;14834;1429;1934;665;2530
AK;AK0076;TICASUK LIBRARY                                             ;-3                                                                              ;850;1;0.43;17608;725;1000;505;500
AK;AK0077;VALDEZ CONSORTIUM LIBRARY                                   ;www.ci.valdez.ak.us/library/                                                    ;2654;5;3.52;331913;3475;30831;9801;19845
AK;AK0078;WASILLA PUBLIC LIBRARY                                      ;www.cityofwasilla.com/library/                                                  ;2198;7;9.4;825115;30144;88023;17427;145637
AK;AK0080;WILLOW PUBLIC LIBRARY                                       ;www.matsulibraries.org/willow/                                                  ;2106;8;2.37;244273;7717;32356;8631;34975
AK;AK0081;IRENE INGLE PUBLIC LIBRARY                                  ;www.wrangell.com/                                                               ;1976;4;2.5;239422;2058;27113;7498;30788
AK;AK0082;AKIAK SCHOOL/COMMUNITY LIBRARY                              ;www.yupiit.org/resources/libraries.html                                         ;690;1;0.7;38953;346;5307;529;3840
AK;AK0085;FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY                    ;-3                                                                              ;936;2;0;10404;412;2560;838;2796
